drug_name,adr_term,archetype,true_signal,demographic_minority_flag,T_confirmation,feature_extraction_date,years_since_approval,days_to_signal,notoriety_flag,stimulated_reporting_flag,ground_truth_confidence,temporal_cohort,S1,S2_raw,S2_corrected,S3,S4,S5,S6,S7,weber_factor,prr_raw,S1_score,S2_score,S3_score,S4_score,S5_score,S6_score,S7_score,prr_score,composite_probability,hdi_lower,hdi_upper,hdi_width,dci,uncertainty_flag
Rapacuronium,Bronchospasm,standard,1,0,2001-03-15,2000-09-15,3.883,1110,0,0,0.8,2000-2005,66.66,85.04,85.04,61.32,87.08,44.88,30.0,74.3,1.0,14.439,0.6666,0.8504,0.6132,0.8708,0.44880000000000003,0.3,0.743,0.6960880342405772,0.9966,0.9872,0.9991,0.0119,0.9932,False
Metformin,Pancreatitis,negative,0,1,,2014-04-01,7.778,9999,0,0,0.8,unknown,20.54,32.02,32.02,43.43,23.42,41.36,4.5,35.0,1.0,2.055,0.2054,0.32020000000000004,0.4343,0.23420000000000002,0.41359999999999997,0.045,0.35,0.28403588992570666,0.0148,0.007,0.0313,0.0244,0.9703,False
Ximelagatran,Hepatotoxicity,standard,1,0,2006-02-15,2005-08-18,7.722,741,0,0,1.0,2005-2010,72.68,100.0,100.0,91.99,72.77,38.99,80.0,63.01,1.0,8.861,0.7268000000000001,1.0,0.9198999999999999,0.7277,0.3899,0.8,0.6301,0.582067415274581,0.9995,0.998,0.9999,0.0019,0.999,False
Rofecoxib,Myocardial Infarction,standard,1,0,2004-09-15,2004-03-18,6.15,289,0,0,1.0,2000-2005,31.18,61.7,61.7,84.42,99.18,67.22,85.0,71.12,1.0,3.229,0.3118,0.617,0.8442000000000001,0.9918,0.6722,0.85,0.7112,0.36674199040999356,0.9998,0.9991,0.9999,0.0009,0.9995,False
Cisapride,QT Prolongation,standard,1,0,2000-03-15,1999-09-16,7.331,899,0,0,1.0,2000-2005,41.71,73.61,73.61,67.04,44.34,67.91,25.0,52.41,1.0,15.435,0.4171,0.7361,0.6704000000000001,0.4434,0.6790999999999999,0.25,0.5241,0.7119881369653962,0.8731,0.6948,0.9541,0.2593,0.7462,False
Cerivastatin,Rhabdomyolysis,standard,1,0,2001-08-15,2001-02-15,1.031,1135,0,0,1.0,2000-2005,99.87,32.77,32.77,68.59,92.81,39.14,50.0,53.63,0.40279808100394365,22.534,0.9987,0.32770000000000005,0.6859000000000001,0.9281,0.3914,0.5,0.5363,0.8033027094981521,0.9932,0.9751,0.9982,0.0231,0.9865,False
Infliximab,Hepatosplenic T-cell Lymphoma,silent_killer,1,0,2006-09-15,2006-03-18,7.475,715,1,0,0.6,2005-2010,82.68,15.84,15.84,30.52,70.19,18.66,50.0,55.18,1.0,2.149,0.8268000000000001,0.15839999999999999,0.30519999999999997,0.7019,0.1866,0.5,0.5518,0.29174359426617885,0.8711,0.6767,0.9562,0.2795,0.7422,False
Valdecoxib,Stevens-Johnson Syndrome,standard,1,0,2005-04-15,2004-10-16,2.83,651,0,0,0.8,2005-2010,73.9,93.82,93.82,100.0,47.6,64.31,60.0,82.67,1.0,13.371,0.7390000000000001,0.9381999999999999,1.0,0.47600000000000003,0.6431,0.6,0.8267,0.6778561757443473,0.9999,0.9995,1.0,0.0005,0.9998,False
Metformin,Pancreatitis,negative,0,0,,2013-05-17,9.37,9999,0,0,0.8,unknown,0.0,40.09,40.09,21.06,37.46,17.14,7.3,25.26,1.0,0.713,0.0,0.40090000000000003,0.21059999999999998,0.3746,0.1714,0.073,0.2526,0.1368947327832127,0.0011,0.0006,0.0022,0.0016,0.9977,False
Ibuprofen,Myocardial Infarction Chronic,negative,0,0,,2010-08-16,9.839,9999,0,0,0.8,unknown,6.84,49.46,49.46,42.12,46.55,4.83,0.0,34.95,1.0,3.064,0.0684,0.4946,0.42119999999999996,0.46549999999999997,0.0483,0.0,0.34950000000000003,0.35662001351383216,0.0058,0.0027,0.0124,0.0097,0.9884,False
Gatifloxacin,Dysglycemia,standard,1,0,2006-02-15,2005-08-18,0.691,643,0,0,1.0,2005-2010,100.0,40.38,40.38,45.14,44.38,68.4,60.0,64.79,0.2921336681961425,3.339,1.0,0.40380000000000005,0.4514,0.44380000000000003,0.684,0.6,0.6479,0.37327288743455717,0.996,0.9849,0.9989,0.014,0.992,False
Fenfluramine,Cardiac Valvulopathy,standard,1,0,1997-09-15,1997-03-18,3.359,903,0,0,1.0,2000-2005,50.42,77.22,77.22,100.0,16.69,39.65,35.0,71.5,1.0,13.109,0.5042,0.7722,1.0,0.16690000000000002,0.39649999999999996,0.35,0.715,0.6731765695817666,0.9864,0.9526,0.9962,0.0436,0.9728,False
Lithium,Thyroid Cancer,negative,0,0,,2010-07-07,6.348,9999,0,0,0.8,unknown,24.28,89.81,89.81,18.46,11.99,48.46,1.79,51.09,1.0,3.629,0.24280000000000002,0.8981,0.18460000000000001,0.1199,0.48460000000000003,0.0179,0.5109,0.3897275731903168,0.0582,0.0232,0.1383,0.1151,0.8836,False
Fingolimod,Bradycardia,standard,1,0,2010-09-15,2010-03-18,5.045,931,0,0,0.8,2010-2015,100.0,79.28,79.28,79.73,71.33,38.17,25.0,57.46,1.0,4.638,1.0,0.7928000000000001,0.7973,0.7132999999999999,0.38170000000000004,0.25,0.5746,0.43987947438389985,0.9893,0.9625,0.997,0.0345,0.9786,False
Levothyroxine,Osteoporosis,negative,0,1,,2013-04-03,14.492,9999,0,0,0.8,unknown,34.62,7.63,7.63,51.1,57.63,0.0,1.6,26.17,1.0,0.764,0.34619999999999995,0.07629999999999999,0.511,0.5763,0.0,0.016,0.26170000000000004,0.14435633993039662,0.0055,0.0026,0.0115,0.0089,0.9891,False
Dexfenfluramine,Pulmonary Hypertension,standard,1,0,1997-09-15,1997-03-18,4.323,58,1,1,1.0,2000-2005,71.61,100.0,100.0,73.15,73.35,84.71,100.0,65.58,1.0,23.492,0.7161,1.0,0.7315,0.7334999999999999,0.8471,1.0,0.6557999999999999,0.8134507560549177,0.9999,0.9996,1.0,0.0004,0.9999,False
Celecoxib,Colorectal Cancer,negative,0,0,,2013-01-14,14.039,9999,0,0,0.8,unknown,18.59,43.54,43.54,0.0,10.76,29.24,16.06,38.94,1.0,3.973,0.1859,0.4354,0.0,0.1076,0.2924,0.1606,0.38939999999999997,0.40795890498867027,0.0046,0.0022,0.0095,0.0073,0.9908,False
Lisinopril,Lung Cancer,negative,0,0,,2012-05-11,8.171,9999,0,0,0.8,unknown,49.56,39.38,39.38,23.1,6.94,41.83,40.26,43.98,1.0,1.599,0.49560000000000004,0.39380000000000004,0.231,0.0694,0.4183,0.40259999999999996,0.43979999999999997,0.24292195150006043,0.1466,0.0678,0.2885,0.2207,0.7069,False
ACE Inhibitors,Pancreatic Cancer,negative,0,0,,2013-02-06,7.747,9999,0,0,0.8,unknown,76.39,63.88,63.88,66.83,26.36,1.92,32.21,35.76,1.0,1.07,0.7639,0.6388,0.6683,0.2636,0.0192,0.3221,0.3576,0.18504091362087338,0.24,0.1076,0.4526,0.345,0.52,True
Cisapride,QT Prolongation,standard,1,0,2000-03-15,1999-09-16,4.163,205,1,0,1.0,2000-2005,71.46,39.76,39.76,90.49,12.86,62.11,75.0,60.77,1.0,24.629,0.7145999999999999,0.39759999999999995,0.9048999999999999,0.1286,0.6211,0.75,0.6077,0.8249919568762881,0.9956,0.9834,0.9989,0.0154,0.9913,False
Insulin Glargine,Breast Cancer,negative,0,0,,2012-03-25,3.618,9999,0,0,0.8,unknown,63.89,70.19,70.19,0.14,45.92,53.36,21.26,49.31,1.0,2.497,0.6389,0.7019,0.0014000000000000002,0.4592,0.5336,0.2126,0.49310000000000004,0.31840309693840746,0.3375,0.1583,0.5798,0.4215,0.325,True
Montelukast,Neuropsychiatric Events,negative,0,0,,2013-12-24,5.417,9999,0,0,0.8,unknown,49.54,88.7,88.7,27.1,8.56,0.23,0.0,36.68,1.0,2.735,0.4954,0.887,0.271,0.08560000000000001,0.0023,0.0,0.3668,0.3351490990895558,0.0069,0.0029,0.0159,0.013,0.9863,False
Prasugrel,Bleeding,standard,1,0,2009-07-15,2009-01-15,7.824,75,0,0,0.6,2005-2010,68.15,42.91,42.91,58.39,67.81,100.0,100.0,80.01,1.0,6.45,0.6815000000000001,0.4291,0.5839,0.6781,1.0,1.0,0.8001,0.5107586703940367,1.0,0.9998,1.0,0.0002,0.9999,False
Esomeprazole,Kidney Disease Chronic,negative,0,0,,2010-07-24,5.796,9999,0,0,0.8,unknown,52.42,86.59,86.59,0.0,62.61,22.65,28.78,38.93,1.0,3.346,0.5242,0.8659,0.0,0.6261,0.22649999999999998,0.2878,0.3893,0.37368286874314005,0.1092,0.0457,0.2391,0.1934,0.7815,False
Topiramate,Metabolic Acidosis Minor,negative,0,1,,2012-04-02,5.027,9999,0,0,0.8,unknown,1.52,39.45,39.45,15.92,76.61,21.39,24.13,39.9,1.0,2.807,0.0152,0.3945,0.1592,0.7661,0.2139,0.2413,0.39899999999999997,0.3400052805683743,0.0347,0.0153,0.0767,0.0614,0.9307,False
Methotrexate,Cardiac Events in RA,negative,0,0,,2011-12-15,14.065,9999,0,0,0.8,unknown,0.0,43.56,43.56,15.29,23.66,27.18,11.73,36.91,1.0,1.773,0.0,0.43560000000000004,0.15289999999999998,0.2366,0.2718,0.1173,0.3691,0.25940361091927183,0.004,0.0019,0.0081,0.0061,0.9921,False
Isotretinoin,Depression,media_panic,1,1,2005-07-15,2005-01-15,2.922,686,0,0,0.8,2005-2010,0.0,70.38,70.38,17.34,17.62,44.26,50.0,49.26,1.0,9.865,0.0,0.7038,0.1734,0.17620000000000002,0.4426,0.5,0.4926,0.6067274687497954,0.1566,0.0687,0.3187,0.25,0.6867,False
Ramipril,Cancer overall,negative,0,1,,2012-02-28,10.844,9999,0,0,0.8,unknown,40.99,48.44,48.44,52.92,59.58,2.86,51.57,37.52,1.0,3.854,0.40990000000000004,0.4844,0.5292,0.5958,0.0286,0.5157,0.37520000000000003,0.4017988728075356,0.3077,0.1511,0.5261,0.375,0.3846,True
Ximelagatran,Hepatotoxicity,standard,1,1,2006-02-15,2005-08-18,3.621,1011,0,0,0.8,2005-2010,96.89,58.69,58.69,64.5,68.35,59.01,50.0,57.65,1.0,14.381,0.9689,0.5869,0.645,0.6835,0.5901,0.5,0.5765,0.6951307704802542,0.9956,0.9847,0.9987,0.014,0.9912,False
Metoprolol,Cognitive Decline,negative,0,0,,2010-02-08,9.884,9999,0,0,0.8,unknown,40.3,81.16,81.16,4.91,26.92,16.14,6.03,37.68,1.0,1.802,0.40299999999999997,0.8116,0.049100000000000005,0.2692,0.16140000000000002,0.0603,0.3768,0.26204962888980066,0.0089,0.0039,0.02,0.0161,0.9822,False
Metformin,Pancreatitis,negative,0,0,,2010-10-19,14.736,9999,0,0,0.8,unknown,31.22,69.55,69.55,12.51,25.06,0.0,33.34,49.64,1.0,0.941,0.3122,0.6955,0.1251,0.2506,0.0,0.33340000000000003,0.4964,0.16867566523476418,0.0562,0.0242,0.1253,0.1012,0.8875,False
Propoxyphene,Cardiac Conduction Abnormalities,standard,1,0,2010-11-15,2010-05-18,1.112,1043,0,1,0.6,2010-2015,89.27,95.97,95.97,100.0,62.03,33.35,60.0,86.85,0.42650152412428466,12.372,0.8926999999999999,0.9597,1.0,0.6203,0.3335,0.6,0.8684999999999999,0.6595315282995073,0.9999,0.9996,1.0,0.0004,0.9999,False
Montelukast,Neuropsychiatric Events,negative,0,0,,2014-05-28,14.751,9999,0,0,0.8,unknown,16.7,93.26,93.26,9.37,56.01,6.38,0.0,21.11,1.0,3.413,0.16699999999999998,0.9326000000000001,0.09369999999999999,0.5600999999999999,0.0638,0.0,0.21109999999999998,0.37757389797033697,0.0012,0.0005,0.0027,0.0022,0.9976,False
Ximelagatran,Hepatotoxicity,standard,1,0,2006-02-15,2005-08-18,1.066,644,0,1,0.8,2005-2010,97.06,67.29,67.29,74.64,93.64,83.33,60.0,79.87,0.41315819915505336,1.538,0.9706,0.6729,0.7464,0.9364,0.8332999999999999,0.6,0.7987000000000001,0.23688140225253423,1.0,0.9998,1.0,0.0002,0.9999,False
Bromfenac,Hepatotoxicity,silent_killer,1,0,1998-06-15,1997-12-16,1.655,830,1,0,1.0,2000-2005,72.54,0.0,0.0,57.0,83.75,36.45,30.0,55.52,0.5628592266723857,13.491,0.7254,0.0,0.57,0.8375,0.36450000000000005,0.3,0.5552,0.679971091498105,0.915,0.7467,0.9752,0.2284,0.8299,False
Rosuvastatin,Parkinson Disease,negative,0,0,,2013-02-15,7.38,9999,0,0,0.8,unknown,19.78,57.64,57.64,37.6,12.62,0.0,45.4,34.5,1.0,1.359,0.1978,0.5764,0.376,0.12619999999999998,0.0,0.45399999999999996,0.345,0.21827972056606004,0.0208,0.0096,0.0444,0.0348,0.9585,False
Pergolide,Cardiac Valvulopathy,standard,1,0,2007-01-15,2006-07-18,4.268,200,0,0,0.8,2005-2010,91.11,46.98,46.98,100.0,32.08,89.85,85.0,66.53,1.0,7.402,0.9111,0.4698,1.0,0.3208,0.8985,0.85,0.6653,0.5413438874379568,0.9999,0.9994,1.0,0.0006,0.9997,False
Tolvaptan,Hepatotoxicity,standard,1,0,2013-04-15,2012-10-16,2.887,735,0,0,1.0,2010-2015,50.94,85.06,85.06,58.46,56.33,81.59,35.0,73.8,1.0,8.133,0.5094,0.8506,0.5846,0.5633,0.8159000000000001,0.35,0.738,0.5625616276825941,0.9962,0.986,0.999,0.013,0.9924,False
Propoxyphene,Cardiac Conduction Abnormalities,standard,1,0,2010-11-15,2010-05-18,5.548,1137,0,0,0.8,2010-2015,5.35,32.0,32.0,99.06,0.0,95.73,50.0,84.07,1.0,10.011,0.0535,0.32,0.9906,0.0,0.9573,0.5,0.8406999999999999,0.6101223699152909,0.9968,0.9871,0.9992,0.0121,0.9937,False
Codeine (Ped.),Respiratory Depression,silent_killer,1,1,2012-08-15,2012-02-16,7.681,48,0,1,0.8,2010-2015,85.62,30.55,30.55,55.49,77.57,42.65,100.0,67.64,1.0,20.494,0.8562000000000001,0.3055,0.5549000000000001,0.7757,0.4265,1.0,0.6764,0.7802415755383663,0.9995,0.9979,0.9999,0.002,0.999,False
Propoxyphene,Cardiac Conduction Abnormalities,standard,1,1,2010-11-15,2010-05-18,5.8,221,1,0,0.8,2010-2015,100.0,60.65,60.65,100.0,44.38,53.42,80.0,71.06,1.0,24.939,1.0,0.6065,1.0,0.44380000000000003,0.5342,0.8,0.7106,0.8280498505698418,0.9998,0.9993,1.0,0.0007,0.9997,False
Metoprolol,Cognitive Decline,negative,0,0,,2011-03-01,3.312,9999,0,0,0.8,unknown,44.54,39.54,39.54,30.26,19.92,0.0,17.24,31.39,1.0,0.502,0.4454,0.3954,0.30260000000000004,0.19920000000000002,0.0,0.1724,0.3139,0.10346276547876228,0.0065,0.0032,0.0134,0.0102,0.9869,False
Bisphosphonates,Esophageal Cancer,negative,0,1,,2011-03-06,14.701,9999,0,0,0.8,unknown,31.39,54.71,54.71,36.57,19.58,19.91,3.71,46.98,1.0,2.562,0.3139,0.5471,0.3657,0.19579999999999997,0.1991,0.0371,0.4698,0.32308711105972304,0.0337,0.0148,0.0747,0.0599,0.9326,False
Warfarin,Alzheimer Disease,negative,0,1,,2010-05-01,5.029,9999,0,0,0.8,unknown,17.21,50.85,50.85,0.0,36.4,22.41,51.01,46.0,1.0,3.694,0.1721,0.5085000000000001,0.0,0.364,0.2241,0.5101,0.46,0.3932740772020007,0.0795,0.0356,0.1683,0.1328,0.8409,False
Benfluorex,Valvular Heart Disease,silent_killer,1,0,2009-11-15,2009-05-18,2.188,135,0,0,1.0,2005-2010,97.31,30.9,30.9,50.27,56.04,91.46,100.0,67.65,1.0,9.483,0.9731000000000001,0.309,0.5027,0.5604,0.9146,1.0,0.6765000000000001,0.59762439054102,0.9998,0.9993,1.0,0.0006,0.9997,False
Sibutramine,Cardiovascular Events,standard,1,0,2010-01-15,2009-07-18,2.821,38,0,0,1.0,2010-2015,95.62,26.06,26.06,58.18,57.78,55.8,100.0,64.09,1.0,11.301,0.9562,0.2606,0.5818,0.5778,0.5579999999999999,1.0,0.6409,0.6382990484111865,0.9994,0.9978,0.9998,0.002,0.9988,False
Tolvaptan,Hepatotoxicity,standard,1,1,2013-04-15,2012-10-16,1.043,367,1,0,1.0,2010-2015,60.85,80.3,80.3,66.76,51.93,81.62,50.0,59.13,0.40637056435043695,20.876,0.6085,0.8029999999999999,0.6676000000000001,0.5193,0.8162,0.5,0.5913,0.7847220181396214,0.9938,0.9747,0.9985,0.0238,0.9876,False
Atorvastatin,Pancreatic Cancer,negative,0,0,,2013-09-27,8.266,9999,0,0,0.8,unknown,41.89,100.0,100.0,0.1,22.95,0.77,22.27,49.89,1.0,3.651,0.4189,1.0,0.001,0.22949999999999998,0.0077,0.2227,0.4989,0.3909334731044341,0.0422,0.0167,0.1027,0.086,0.9156,False
Gatifloxacin,Dysglycemia,standard,1,0,2006-02-15,2005-08-18,3.144,663,1,1,1.0,2005-2010,83.37,47.67,47.67,30.82,46.51,81.24,60.0,62.88,1.0,19.988,0.8337,0.4767,0.30820000000000003,0.46509999999999996,0.8123999999999999,0.6,0.6288,0.7741825630541352,0.9923,0.968,0.9982,0.0302,0.9845,False
Lumiracoxib,Hepatotoxicity,standard,1,0,2007-10-15,2007-04-17,4.411,720,0,0,0.8,2005-2010,100.0,58.87,58.87,80.29,84.67,100.0,50.0,83.93,1.0,11.079,1.0,0.5887,0.8029000000000001,0.8467,1.0,0.5,0.8393,0.6336670647057219,1.0,0.9999,1.0,0.0001,1.0,False
Sitaxentan,Hepatotoxicity,standard,1,0,2010-12-15,2010-06-17,7.627,402,0,0,1.0,2010-2015,69.89,53.18,53.18,78.98,79.06,100.0,50.0,57.17,1.0,2.882,0.6989,0.5318,0.7898000000000001,0.7906,1.0,0.5,0.5717,0.3449670996236463,0.9986,0.9946,0.9996,0.005,0.9972,False
Aspirin,Renal Cell Carcinoma,negative,0,1,,2014-04-19,12.395,9999,0,0,0.8,unknown,8.37,64.65,64.65,0.0,54.13,23.89,0.46,44.59,1.0,1.597,0.0837,0.6465000000000001,0.0,0.5413,0.2389,0.0046,0.4459,0.24272615874355197,0.0107,0.0046,0.0245,0.0199,0.9786,False
Hydroxychloroquine,Retinopathy Minor,negative,0,0,,2014-04-10,14.252,9999,0,0,0.8,unknown,34.63,52.26,52.26,25.14,56.02,44.17,0.0,43.06,1.0,2.94,0.34630000000000005,0.5226,0.2514,0.5602,0.44170000000000004,0.0,0.43060000000000004,0.3487389450583962,0.073,0.0316,0.1597,0.1281,0.8539,False
Fenfluramine,Cardiac Valvulopathy,standard,1,0,1997-09-15,1997-03-18,0.891,537,0,0,1.0,2000-2005,28.15,32.18,32.18,76.32,57.46,49.76,60.0,58.56,0.35949605601601176,12.065,0.2815,0.3218,0.7631999999999999,0.5746,0.4976,0.6,0.5856,0.653624331044378,0.9706,0.9072,0.9911,0.0839,0.9412,False
Hydroxyethyl Starch,Renal Failure,standard,1,0,2013-06-15,2012-12-16,5.455,39,0,1,1.0,2010-2015,97.51,58.65,58.65,66.19,22.45,7.88,100.0,63.0,1.0,1.78,0.9751000000000001,0.5865,0.6618999999999999,0.2245,0.0788,1.0,0.63,0.2600448298603972,0.9962,0.9846,0.9991,0.0144,0.9925,False
Vaccines,Autism,negative,0,1,,2013-10-25,4.691,9999,0,0,0.8,unknown,19.22,35.58,35.58,25.67,15.24,0.0,18.04,26.25,1.0,0.611,0.19219999999999998,0.3558,0.25670000000000004,0.1524,0.0,0.1804,0.2625,0.12128083713224812,0.0013,0.0007,0.0025,0.0018,0.9973,False
Oral Contraceptives,Multiple Sclerosis,negative,0,0,,2010-07-26,3.179,9999,0,0,0.8,unknown,8.29,56.92,56.92,0.0,24.63,13.99,47.39,32.89,1.0,0.517,0.08289999999999999,0.5692,0.0,0.2463,0.1399,0.4739,0.3289,0.10599012756261106,0.008,0.0038,0.0167,0.0129,0.984,False
Metoprolol,Cognitive Decline,negative,0,0,,2011-03-01,6.67,9999,0,0,0.8,unknown,0.0,42.49,42.49,18.83,29.93,19.67,0.0,48.46,1.0,0.542,0.0,0.4249,0.1883,0.2993,0.1967,0.0,0.48460000000000003,0.11014737569658206,0.0085,0.0039,0.0187,0.0148,0.983,False
Cisapride,QT Prolongation,standard,1,0,2000-03-15,1999-09-16,5.066,1058,0,0,1.0,2000-2005,100.0,72.31,72.31,100.0,13.68,10.39,50.0,87.83,1.0,10.231,1.0,0.7231000000000001,1.0,0.1368,0.1039,0.5,0.8783,0.6151538847120795,0.9992,0.9967,0.9998,0.0031,0.9985,False
Dronedarone,Hepatotoxicity,masked_signal,1,1,2011-01-15,2010-07-18,4.52,119,0,0,1.0,2010-2015,94.99,40.97,40.97,63.1,63.73,82.64,100.0,57.64,1.0,6.213,0.9499,0.4097,0.631,0.6373,0.8264,1.0,0.5764,0.502536261292051,0.9997,0.9987,0.9999,0.0012,0.9994,False
Dexfenfluramine,Pulmonary Hypertension,standard,1,0,1997-09-15,1997-03-18,7.778,813,1,0,0.8,2000-2005,52.92,49.57,49.57,63.4,68.24,74.97,80.0,53.08,1.0,8.065,0.5292,0.49570000000000003,0.634,0.6823999999999999,0.7497,0.8,0.5307999999999999,0.5606608863474425,0.9954,0.983,0.9987,0.0158,0.9907,False
Tetrazepam,Cutaneous Reactions,standard,1,0,2013-07-15,2013-01-15,1.761,145,0,0,0.6,2010-2015,60.45,56.86,56.86,66.94,72.26,64.51,100.0,81.22,0.5854244279350357,13.086,0.6045,0.5686,0.6694,0.7226,0.6451,1.0,0.8122,0.6727616235846138,0.9999,0.9997,1.0,0.0003,0.9999,False
Calcium Antagonists,Suicide,negative,0,0,,2010-05-01,8.526,9999,0,0,0.8,unknown,7.42,41.22,41.22,4.15,28.99,22.97,0.0,40.95,1.0,2.59,0.0742,0.4122,0.0415,0.2899,0.2297,0.0,0.40950000000000003,0.32507855685720416,0.003,0.0014,0.0062,0.0048,0.994,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,0,2014-04-15,2013-10-16,5.491,503,0,0,1.0,2010-2015,100.0,41.8,41.8,40.48,49.82,10.79,80.0,59.85,1.0,8.056,1.0,0.418,0.4048,0.4982,0.1079,0.8,0.5985,0.5604082498272164,0.9845,0.9508,0.9952,0.0444,0.969,False
Benzodiazepines,Alzheimer Disease,negative,0,1,,2013-11-09,10.056,9999,0,0,0.8,unknown,41.3,20.35,20.35,0.0,45.02,8.94,0.0,29.08,1.0,1.353,0.413,0.20350000000000001,0.0,0.45020000000000004,0.0894,0.0,0.2908,0.21763200855688125,0.0016,0.0008,0.0031,0.0023,0.9969,False
Propoxyphene,Cardiac Conduction Abnormalities,standard,1,0,2010-11-15,2010-05-18,2.07,1044,0,0,1.0,2010-2015,89.77,93.3,93.3,95.57,82.59,80.93,60.0,62.72,1.0,11.926,0.8976999999999999,0.9329999999999999,0.9556999999999999,0.8259000000000001,0.8093,0.6,0.6272,0.6509039377383146,0.9998,0.9993,1.0,0.0007,0.9997,False
Simvastatin,Cognitive Impairment,negative,0,0,,2010-06-18,12.671,9999,0,0,0.8,unknown,34.8,76.03,76.03,9.31,62.81,8.15,38.57,34.95,1.0,0.815,0.348,0.7603,0.0931,0.6281,0.0815,0.3857,0.34950000000000003,0.15160526518664358,0.0559,0.0242,0.1239,0.0998,0.8883,False
Albuterol,Asthma Mortality,negative,0,0,,2011-02-06,11.211,9999,0,0,0.8,unknown,47.13,73.96,73.96,23.1,37.65,0.0,0.0,29.97,1.0,2.46,0.47130000000000005,0.7395999999999999,0.231,0.3765,0.0,0.0,0.29969999999999997,0.3156977712181934,0.005,0.0023,0.0111,0.0088,0.9899,False
Metoprolol,Cognitive Decline,negative,0,1,,2010-02-01,12.493,9999,0,0,0.8,unknown,0.0,85.21,85.21,34.35,40.26,3.04,21.38,28.3,1.0,2.467,0.0,0.8521,0.3435,0.40259999999999996,0.0304,0.2138,0.28300000000000003,0.31621180154965883,0.0056,0.0025,0.0123,0.0098,0.9889,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,0,2014-04-15,2013-10-16,1.986,743,0,0,0.8,2010-2015,100.0,11.99,11.99,65.59,100.0,65.18,25.0,55.72,0.6295363686267527,8.077,1.0,0.1199,0.6559,1.0,0.6518,0.25,0.5572,0.5609973451483277,0.9912,0.9668,0.9977,0.0309,0.9824,False
PPIs,Dementia,negative,0,1,,2010-11-18,4.779,9999,0,0,0.8,unknown,49.51,58.96,58.96,0.0,16.52,0.0,8.84,37.16,1.0,2.897,0.4951,0.5896,0.0,0.16519999999999999,0.0,0.08839999999999999,0.3716,0.3459479522783662,0.0038,0.0018,0.0082,0.0064,0.9923,False
Hydroxyethyl Starch,Renal Failure,standard,1,0,2013-06-15,2012-12-16,6.562,646,0,0,0.8,2010-2015,75.14,56.3,56.3,92.32,82.71,43.24,60.0,84.92,1.0,11.208,0.7514,0.563,0.9231999999999999,0.8271,0.4324,0.6,0.8492000000000001,0.6363688800737649,0.9999,0.9995,1.0,0.0005,0.9998,False
Fenfluramine,Cardiac Valvulopathy,standard,1,0,1997-09-15,1997-03-18,1.294,768,0,0,1.0,2000-2005,62.46,70.13,70.13,60.87,57.58,54.58,60.0,77.3,0.4763857343517365,7.287,0.6246,0.7012999999999999,0.6087,0.5758,0.5458,0.6,0.773,0.537838708885383,0.9986,0.9944,0.9997,0.0052,0.9972,False
Natalizumab,Progressive Multifocal Leuko.,silent_killer,1,0,2005-02-15,2004-08-18,4.178,463,0,0,1.0,2005-2010,88.37,30.97,30.97,45.75,74.94,22.97,50.0,58.77,1.0,14.583,0.8837,0.3097,0.4575,0.7494,0.2297,0.5,0.5877,0.6984492276583166,0.9684,0.9071,0.9897,0.0826,0.9368,False
Benzodiazepines,Alzheimer Disease,negative,0,0,,2012-03-12,7.202,9999,0,0,0.8,unknown,58.67,51.13,51.13,36.18,14.71,26.66,41.27,28.85,1.0,3.238,0.5867,0.5113,0.3618,0.1471,0.2666,0.4127,0.28850000000000003,0.36728268105966577,0.0592,0.0272,0.124,0.0968,0.8816,False
ACE Inhibitors,Pancreatic Cancer,negative,0,1,,2011-03-22,5.906,9999,0,0,0.8,unknown,41.75,47.86,47.86,27.35,0.0,13.64,21.24,34.44,1.0,2.202,0.4175,0.47859999999999997,0.2735,0.0,0.1364,0.21239999999999998,0.3444,0.2959886127422577,0.0088,0.0042,0.0183,0.0141,0.9824,False
Rapacuronium,Bronchospasm,standard,1,0,2001-03-15,2000-09-15,6.672,1051,0,0,1.0,2000-2005,88.71,65.28,65.28,65.24,61.74,65.92,25.0,63.67,1.0,5.995,0.8870999999999999,0.6528,0.6524,0.6174000000000001,0.6592,0.25,0.6367,0.49473089343731563,0.9918,0.9718,0.9977,0.0259,0.9837,False
Fluoride,IQ Reduction,negative,0,1,,2013-03-09,7.152,9999,0,0,0.8,unknown,14.22,70.73,70.73,24.38,0.58,10.91,15.39,40.33,1.0,3.684,0.1422,0.7073,0.2438,0.0058,0.1091,0.1539,0.4033,0.39273166970671125,0.0062,0.0028,0.0134,0.0106,0.9877,False
Rapacuronium,Bronchospasm,standard,1,1,2001-03-15,2000-09-15,5.057,344,0,0,1.0,2000-2005,97.73,89.54,89.54,61.32,37.5,56.37,85.0,58.13,1.0,18.802,0.9773000000000001,0.8954000000000001,0.6132,0.375,0.5637,0.85,0.5813,0.7593884423179523,0.9984,0.994,0.9996,0.0056,0.9968,False
Calcium Antagonists,Suicide,negative,0,1,,2011-02-14,14.726,9999,0,0,0.8,unknown,20.15,68.26,68.26,7.4,25.27,0.0,25.32,29.98,1.0,3.815,0.20149999999999998,0.6826000000000001,0.07400000000000001,0.2527,0.0,0.2532,0.2998,0.39974713836967574,0.0029,0.0014,0.0059,0.0045,0.9942,False
